author,body,datalegacylang,clean_text
ElderOakThyme,TRUMP DOCTRINE SPREADING. SLOVAKIA REFUSING ANY MUSLIMS ENTERING IN FEAR OF DESTRUCTION OF SOCIETY. PEOPLE ARE WAKING UP #STOPISLAMINVASION,en,trump doctrine spreading. slovakia refusing any muslims entering in fear of destruction of society. people are waking up
DW247_82,Beginning of the end.\n#StopIslamInvasion\n#IslamIsTheProblem\n#NoRapeFugees https://t.co/DCbBLlqCRS,en,beginning of the end. norapefugees
UPorky,Current feeling...\n#StopIslamInvasion \n#IslamIsTerror \n#WakeUpEurope http://t.co/pOex35uthy,en,current feeling... islamisterror wakeupeurope
UPorky,Yeah...!\n#StopIslamInvasion http://t.co/3sGalzB89f,en,yeah...!
UPorky,So true...!\n#StopIslamInvasion http://t.co/PjEMUwDOTf,en,so true...!
UPorky,Current feeling \n#StopIslamInvasion \n#IslamIsTerror http://t.co/AMjuq27enl,en,current feeling islamisterror
UPorky,More huge protests in Germany.  GE children encouraged to report parent opposed to immigration. \n#StopIslamInvasion http://t.co/MVE8e26Etg,en,more huge protests in germany. ge children encouraged to report parent opposed to immigration.
ub2bad2,America will never be a Islamic State its time to deport them in mass!  They should have never received a green card or citizenship it should be revoked\n@POTUS @VP @ChipRoytx  #MAGA #WalkAway\n#StopIslamInvasion,en,america will never be a islamic state its time to deport them in mass! they should have never received a green card or citizenship it should be revoked maga walkaway
MrEMusicMan9130,"@TonySeruga Mamdani claims socialist, but is actually using the taqiyya to place Islamic warriors in NYC offices. It's a war zone called dar al Harb (house of war). \n\nThis is not something to be shocked about, time to fight a war in NYC. (see Sura 9.5) #StopIslamInvasion",en,"mamdani claims socialist, but is actually using the taqiyya to place islamic warriors in nyc offices. it's a war zone called dar al harb (house of war). this is not something to be shocked about, time to fight a war in nyc. (see sura 9.5)"
FilipSimoens,Australia took the only right decision! #StopIslamInvasion  https://t.co/lKclxfX98V,en,australia took the only right decision!
